2018-12-10 09:14:07 Started
2018-12-11 00:54:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 00:59:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 01:04:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 01:09:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 01:14:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 01:19:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 01:24:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 01:29:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 01:34:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 01:39:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 01:44:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 01:49:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 01:54:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 01:59:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 02:04:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 02:09:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 02:14:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 02:19:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 02:24:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 02:29:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 02:34:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 02:39:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 02:44:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 02:49:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 02:54:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 02:59:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 03:04:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 03:09:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 03:14:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 03:19:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 03:24:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 03:29:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 03:34:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 03:39:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 03:44:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 03:49:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 03:54:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 03:59:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 04:04:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 04:09:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 04:14:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 04:19:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 04:24:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 04:29:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 04:34:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 04:39:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 04:44:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 04:49:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 04:54:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 04:59:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 05:04:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 05:09:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 05:14:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 05:19:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 05:24:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 05:29:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 05:34:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 05:39:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 05:44:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 05:49:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 05:54:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 05:59:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 06:04:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 06:09:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 06:14:37 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 06:19:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 06:24:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 06:29:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 06:34:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 06:39:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 06:44:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 06:49:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 06:54:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 06:59:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 07:04:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 07:09:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 07:14:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 07:19:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 07:24:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 07:29:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 07:34:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 07:39:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 07:44:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 07:49:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 07:54:38 Payments splintered and 0 successfully sent, 1 failed
2018-12-11 07:59:38 Payments splintered and 0 successfully sent, 1 failed
